shipment_id,vehicle_id,gps_timestamp,current_latitude,current_longitude,gps_status,estimated_remaining_km
S001,V002,2026-03-30 06:05:00,49.51367,5.78045,On Route,283
S001,V002,2026-03-30 06:18:00,49.51436,5.78369,On Route,278
S001,V002,2026-03-30 06:26:00,49.51569,5.78984,On Route,260
S001,V002,2026-03-30 06:33:00,49.51685,5.79525,Delayed,255
S001,V002,2026-03-30 06:43:00,49.51677,5.79503,Stopped,255
S001,V002,2026-03-30 06:53:00,49.51731,5.79753,On Route,247
S001,V002,2026-03-30 07:05:00,49.51849,5.80303,Delayed,241
S001,V002,2026-03-30 07:18:00,49.51811,5.80345,Stopped,241
S001,V002,2026-03-30 07:32:00,49.51959,5.81027,Delayed,225
S001,V002,2026-03-30 07:47:00,49.5209,5.81636,On Route,219
S002,V004,2026-03-30 06:07:00,49.88808,6.48076,Delayed,231
S002,V004,2026-03-30 06:22:00,49.88943,6.47686,Delayed,218
S002,V004,2026-03-30 06:30:00,49.889,6.47699,Stopped,216
S002,V004,2026-03-30 06:45:00,49.89058,6.47249,On Route,203
S002,V004,2026-03-30 06:53:00,49.89064,6.47267,Stopped,203
S002,V004,2026-03-30 07:02:00,49.89288,6.46622,On Route,186
S002,V004,2026-03-30 07:10:00,49.89396,6.46314,On Route,171
S002,V004,2026-03-30 07:22:00,49.89396,6.46352,Stopped,169
S002,V004,2026-03-30 07:35:00,49.89514,6.46013,On Route,157
S002,V004,2026-03-30 07:46:00,49.8949,6.46022,Stopped,155
S003,V006,2026-03-30 06:15:00,49.61012,6.49466,On Route,152
S003,V006,2026-03-30 06:26:00,49.611,6.48915,Delayed,135
S003,V006,2026-03-30 06:31:00,49.6115,6.48918,Stopped,133
S003,V006,2026-03-30 06:40:00,49.61172,6.48936,Stopped,131
S003,V006,2026-03-30 06:52:00,49.61156,6.48915,Stopped,131
S003,V006,2026-03-30 07:05:00,49.61278,6.48153,On Route,118
S003,V006,2026-03-30 07:20:00,49.61357,6.47654,On Route,110
S003,V006,2026-03-30 07:27:00,49.61468,6.46958,Delayed,99
S003,V006,2026-03-30 07:41:00,49.61572,6.46309,Delayed,94
S003,V006,2026-03-30 07:51:00,49.61649,6.45822,Delayed,86
S004,V005,2026-03-30 06:07:00,49.62532,5.73534,On Route,265
S004,V005,2026-03-30 06:20:00,49.6253,5.73539,Stopped,264
S004,V005,2026-03-30 06:28:00,49.62522,5.7351,Stopped,262
S004,V005,2026-03-30 06:38:00,49.62503,5.7356,Stopped,260
S004,V005,2026-03-30 06:44:00,49.63029,5.7304,Delayed,241
S004,V005,2026-03-30 06:49:00,49.63267,5.72804,On Route,226
S004,V005,2026-03-30 06:55:00,49.63273,5.72813,Stopped,226
S004,V005,2026-03-30 07:05:00,49.63286,5.72786,Stopped,226
S004,V005,2026-03-30 07:20:00,49.63647,5.72428,On Route,213
S004,V005,2026-03-30 07:34:00,49.63881,5.72197,Delayed,204
S005,V010,2026-03-30 06:05:00,49.73627,6.28454,Stopped,173
S005,V010,2026-03-30 06:16:00,49.73642,6.28469,Stopped,173
S005,V010,2026-03-30 06:24:00,49.73626,6.28505,Stopped,173
S005,V010,2026-03-30 06:35:00,49.73767,6.28003,On Route,164
S005,V010,2026-03-30 06:41:00,49.73867,6.27649,On Route,152
S005,V010,2026-03-30 06:46:00,49.74053,6.2699,Delayed,144
S005,V010,2026-03-30 06:54:00,49.74103,6.27024,Stopped,144
S005,V010,2026-03-30 07:02:00,49.74222,6.26597,On Route,124
S005,V010,2026-03-30 07:13:00,49.74423,6.25883,Delayed,114
S005,V010,2026-03-30 07:25:00,49.74637,6.25121,On Route,101
S006,V005,2026-03-30 06:05:00,49.71333,6.45476,On Route,263
S006,V005,2026-03-30 06:10:00,49.71356,6.45432,Stopped,262
S006,V005,2026-03-30 06:15:00,49.71676,6.44984,On Route,252
S006,V005,2026-03-30 06:21:00,49.71634,6.44953,Stopped,250
S006,V005,2026-03-30 06:29:00,49.7167,6.44943,Stopped,248
S006,V005,2026-03-30 06:44:00,49.71679,6.44955,Stopped,247
S006,V005,2026-03-30 06:52:00,49.71686,6.44936,Stopped,246
S006,V005,2026-03-30 06:59:00,49.71708,6.4491,Stopped,245
S006,V005,2026-03-30 07:04:00,49.71722,6.44906,Stopped,245
S006,V005,2026-03-30 07:10:00,49.72055,6.4444,Delayed,237
S007,V009,2026-03-30 06:13:00,49.60845,5.7684,Delayed,193
S007,V009,2026-03-30 06:26:00,49.60825,5.76889,Stopped,191
S007,V009,2026-03-30 06:41:00,49.61129,5.77407,On Route,177
S007,V009,2026-03-30 06:50:00,49.61515,5.78066,On Route,168
S007,V009,2026-03-30 06:59:00,49.61885,5.78699,On Route,159
S007,V009,2026-03-30 07:07:00,49.6217,5.79185,Delayed,144
S007,V009,2026-03-30 07:16:00,49.62183,5.79161,Stopped,143
S007,V009,2026-03-30 07:25:00,49.62312,5.79382,On Route,125
S007,V009,2026-03-30 07:40:00,49.62414,5.79556,On Route,116
S007,V009,2026-03-30 07:53:00,49.62564,5.79812,Delayed,97
S008,V007,2026-03-30 06:07:00,49.77999,5.61174,Stopped,186
S008,V007,2026-03-30 06:17:00,49.78086,5.61437,Delayed,172
S008,V007,2026-03-30 06:32:00,49.78319,5.62138,On Route,161
S008,V007,2026-03-30 06:45:00,49.78509,5.62708,On Route,145
S008,V007,2026-03-30 06:53:00,49.78756,5.63452,Delayed,136
S008,V007,2026-03-30 07:04:00,49.79004,5.64198,On Route,126
S008,V007,2026-03-30 07:15:00,49.79101,5.6449,On Route,111
S008,V007,2026-03-30 07:22:00,49.79137,5.64521,Stopped,110
S008,V007,2026-03-30 07:30:00,49.79098,5.64558,Stopped,109
S008,V007,2026-03-30 07:40:00,49.79316,5.65213,On Route,90
S009,V005,2026-03-30 06:09:00,49.90727,6.3692,Delayed,245
S009,V005,2026-03-30 06:24:00,49.90249,6.36583,Delayed,228
S009,V005,2026-03-30 06:31:00,49.90233,6.36535,Stopped,227
S009,V005,2026-03-30 06:45:00,49.90279,6.36512,Stopped,227
S009,V005,2026-03-30 06:56:00,49.89946,6.36277,Delayed,212
S009,V005,2026-03-30 07:04:00,49.89994,6.36239,Stopped,210
S009,V005,2026-03-30 07:09:00,49.89809,6.36109,Delayed,192
S009,V005,2026-03-30 07:24:00,49.89851,6.36113,Stopped,190
S009,V005,2026-03-30 07:39:00,49.89508,6.35873,On Route,183
S009,V005,2026-03-30 07:48:00,49.89038,6.35543,Delayed,175
S010,V009,2026-03-30 06:15:00,49.65637,5.90421,On Route,165
S010,V009,2026-03-30 06:26:00,49.65677,5.90433,Stopped,164
S010,V009,2026-03-30 06:37:00,49.65711,5.90413,Stopped,164
S010,V009,2026-03-30 06:49:00,49.65721,5.90395,Stopped,163
S010,V009,2026-03-30 06:56:00,49.65693,5.90393,Stopped,161
S010,V009,2026-03-30 07:10:00,49.65651,5.90394,Stopped,159
S010,V009,2026-03-30 07:25:00,49.65749,5.90158,Delayed,147
S010,V009,2026-03-30 07:32:00,49.65876,5.89848,Delayed,136
S010,V009,2026-03-30 07:46:00,49.65963,5.89638,On Route,116
S010,V009,2026-03-30 07:57:00,49.66144,5.892,On Route,105
S011,V008,2026-03-30 06:05:00,49.70046,5.65082,Delayed,158
S011,V008,2026-03-30 06:12:00,49.7002,5.65117,Stopped,157
