shipment_id,customer_id,route_id,vehicle_id,driver_id,planned_departure,actual_departure,planned_arrival,actual_arrival,origin,destination,distance_km,fuel_cost,shipment_revenue,shipment_status,cargo_type
S001,C008,R004,V003,D002,2026-03-30 15:00:00,2026-03-30 15:07:00,2026-03-30 19:00:00,2026-03-30 19:25:00,Luxembourg,Nancy,329,42,532,Delivered,General
S002,C017,R010,V001,D009,2026-03-30 05:00:00,2026-03-30 05:05:00,2026-03-30 09:00:00,2026-03-30 09:19:00,Luxembourg,Paris,382,127,325,Delivered,Food
S003,C014,R006,V005,D003,2026-03-30 14:00:00,2026-03-30 14:17:00,2026-03-30 18:00:00,2026-03-30 18:10:00,Luxembourg,Paris,222,46,194,Delivered,Food
S004,C020,R005,V001,D008,2026-03-30 06:00:00,2026-03-30 06:22:00,2026-03-30 10:00:00,,Luxembourg,Reims,113,116,180,In Transit,Chemicals
S005,C019,R004,V002,D001,2026-03-30 15:00:00,2026-03-30 15:39:00,2026-03-30 19:00:00,,Luxembourg,Nancy,166,94,181,In Transit,Pharma
S006,C015,R006,V003,D006,2026-03-30 06:00:00,2026-03-30 06:24:00,2026-03-30 10:00:00,,Luxembourg,Liege,157,88,173,In Transit,Pharma
S007,C013,R005,V009,D004,2026-03-30 13:00:00,2026-03-30 13:15:00,2026-03-30 17:00:00,2026-03-30 17:49:00,Luxembourg,Nancy,216,34,334,Delivered,General
S008,C003,R004,V010,D006,2026-03-30 10:00:00,2026-03-30 10:25:00,2026-03-30 14:00:00,,Luxembourg,Paris,385,147,505,In Transit,Food
S009,C018,R009,V005,D010,2026-03-30 07:00:00,2026-03-30 07:16:00,2026-03-30 11:00:00,2026-03-30 11:21:00,Luxembourg,Metz,348,122,470,Delivered,Pharma
S010,C003,R001,V002,D003,2026-03-30 07:00:00,2026-03-30 07:32:00,2026-03-30 11:00:00,,Luxembourg,Nancy,131,128,165,In Transit,Food
S011,C017,R005,V009,D001,2026-03-30 11:00:00,2026-03-30 11:38:00,2026-03-30 15:00:00,,Luxembourg,Nancy,108,88,448,In Transit,General
S012,C001,R005,V009,D003,2026-03-30 09:00:00,2026-03-30 09:27:00,2026-03-30 13:00:00,2026-03-30 13:48:00,Luxembourg,Reims,104,96,619,Delivered,Pharma
S013,C017,R001,V010,D006,2026-03-30 07:00:00,2026-03-30 07:23:00,2026-03-30 11:00:00,2026-03-30 11:59:00,Luxembourg,Metz,59,48,471,Delivered,Chemicals
S014,C003,R008,V002,D009,2026-03-30 08:00:00,2026-03-30 08:03:00,2026-03-30 12:00:00,2026-03-30 12:00:00,Luxembourg,Paris,115,141,662,Delivered,Pharma
S015,C007,R009,V004,D005,2026-03-30 09:00:00,2026-03-30 09:33:00,2026-03-30 13:00:00,,Luxembourg,Metz,393,115,548,In Transit,Food
S016,C011,R001,V010,D009,2026-03-30 06:00:00,2026-03-30 06:15:00,2026-03-30 10:00:00,2026-03-30 09:58:00,Luxembourg,Paris,351,76,107,Delivered,General
S017,C002,R006,V002,D009,2026-03-30 15:00:00,2026-03-30 15:03:00,2026-03-30 19:00:00,2026-03-30 18:58:00,Luxembourg,Paris,192,144,319,Delivered,Pharma
S018,C008,R008,V007,D004,2026-03-30 14:00:00,2026-03-30 14:36:00,2026-03-30 18:00:00,,Luxembourg,Brussels,99,130,462,In Transit,Food
S019,C002,R007,V006,D002,2026-03-30 11:00:00,2026-03-30 11:29:00,2026-03-30 15:00:00,2026-03-30 15:02:00,Luxembourg,Paris,148,68,649,Delivered,Food
S020,C015,R004,V002,D008,2026-03-30 07:00:00,2026-03-30 07:27:00,2026-03-30 11:00:00,2026-03-30 11:25:00,Luxembourg,Reims,100,32,653,Delivered,General
S021,C016,R008,V004,D007,2026-03-30 06:00:00,2026-03-30 06:15:00,2026-03-30 10:00:00,2026-03-30 10:42:00,Luxembourg,Brussels,134,117,102,Delivered,Food
S022,C014,R009,V008,D003,2026-03-30 09:00:00,2026-03-30 09:29:00,2026-03-30 13:00:00,,Luxembourg,Paris,201,75,159,In Transit,General
S023,C017,R009,V003,D001,2026-03-30 10:00:00,2026-03-30 10:03:00,2026-03-30 14:00:00,2026-03-30 14:51:00,Luxembourg,Reims,91,67,170,Delivered,General
S024,C004,R010,V004,D010,2026-03-30 15:00:00,2026-03-30 15:15:00,2026-03-30 19:00:00,,Luxembourg,Reims,70,40,529,In Transit,Chemicals
S025,C008,R005,V007,D003,2026-03-30 09:00:00,2026-03-30 09:13:00,2026-03-30 13:00:00,,Luxembourg,Nancy,380,96,568,In Transit,Chemicals
S026,C020,R010,V002,D002,2026-03-30 06:00:00,2026-03-30 06:00:00,2026-03-30 10:00:00,,Luxembourg,Reims,159,149,371,In Transit,Pharma
S027,C010,R003,V008,D009,2026-03-30 10:00:00,2026-03-30 10:04:00,2026-03-30 14:00:00,2026-03-30 14:37:00,Luxembourg,Nancy,204,22,667,Delivered,Chemicals
S028,C004,R002,V009,D003,2026-03-30 15:00:00,2026-03-30 15:06:00,2026-03-30 19:00:00,2026-03-30 19:23:00,Luxembourg,Liege,194,73,451,Delivered,Pharma
S029,C017,R008,V005,D001,2026-03-30 15:00:00,2026-03-30 15:40:00,2026-03-30 19:00:00,,Luxembourg,Brussels,374,128,383,In Transit,General
S030,C006,R008,V009,D007,2026-03-30 05:00:00,2026-03-30 05:21:00,2026-03-30 09:00:00,2026-03-30 09:23:00,Luxembourg,Reims,54,48,177,Delivered,Pharma
S031,C019,R009,V003,D007,2026-03-30 13:00:00,2026-03-30 13:02:00,2026-03-30 17:00:00,,Luxembourg,Paris,71,98,473,In Transit,General
S032,C012,R009,V007,D010,2026-03-30 10:00:00,2026-03-30 10:13:00,2026-03-30 14:00:00,2026-03-30 14:03:00,Luxembourg,Nancy,129,80,266,Delivered,Pharma
S033,C014,R004,V005,D003,2026-03-30 11:00:00,2026-03-30 11:01:00,2026-03-30 15:00:00,2026-03-30 15:32:00,Luxembourg,Nancy,105,117,139,Delivered,Food
S034,C012,R005,V004,D004,2026-03-30 08:00:00,2026-03-30 08:12:00,2026-03-30 12:00:00,,Luxembourg,Brussels,387,69,508,In Transit,Chemicals
S035,C012,R009,V007,D009,2026-03-30 09:00:00,2026-03-30 09:04:00,2026-03-30 13:00:00,,Luxembourg,Liege,64,49,367,In Transit,Pharma
S036,C020,R007,V006,D006,2026-03-30 14:00:00,2026-03-30 14:16:00,2026-03-30 18:00:00,2026-03-30 18:03:00,Luxembourg,Metz,360,150,218,Delivered,Food
S037,C002,R007,V001,D009,2026-03-30 14:00:00,2026-03-30 14:12:00,2026-03-30 18:00:00,,Luxembourg,Reims,393,70,472,In Transit,Food
S038,C004,R005,V009,D005,2026-03-30 06:00:00,2026-03-30 06:21:00,2026-03-30 10:00:00,,Luxembourg,Nancy,259,103,512,In Transit,Chemicals
S039,C013,R003,V010,D010,2026-03-30 13:00:00,2026-03-30 13:08:00,2026-03-30 17:00:00,2026-03-30 17:43:00,Luxembourg,Liege,257,20,411,Delivered,Chemicals
S040,C015,R008,V008,D004,2026-03-30 08:00:00,2026-03-30 08:27:00,2026-03-30 12:00:00,,Luxembourg,Reims,292,63,186,In Transit,Chemicals
S041,C003,R004,V005,D004,2026-03-30 13:00:00,2026-03-30 13:40:00,2026-03-30 17:00:00,,Luxembourg,Paris,125,26,147,In Transit,Pharma
S042,C014,R010,V004,D007,2026-03-30 12:00:00,2026-03-30 12:39:00,2026-03-30 16:00:00,2026-03-30 16:48:00,Luxembourg,Metz,254,82,251,Delivered,General
S043,C017,R008,V001,D009,2026-03-30 06:00:00,2026-03-30 06:27:00,2026-03-30 10:00:00,2026-03-30 10:12:00,Luxembourg,Paris,112,136,236,Delivered,Food
S044,C015,R010,V009,D007,2026-03-30 15:00:00,2026-03-30 15:33:00,2026-03-30 19:00:00,,Luxembourg,Reims,278,60,586,In Transit,Food
S045,C017,R008,V004,D005,2026-03-30 09:00:00,2026-03-30 09:15:00,2026-03-30 13:00:00,,Luxembourg,Metz,89,93,340,In Transit,Chemicals
S046,C005,R004,V007,D003,2026-03-30 10:00:00,2026-03-30 10:20:00,2026-03-30 14:00:00,2026-03-30 14:07:00,Luxembourg,Nancy,159,36,524,Delivered,Food
S047,C014,R001,V004,D007,2026-03-30 10:00:00,2026-03-30 10:34:00,2026-03-30 14:00:00,,Luxembourg,Metz,349,25,689,In Transit,Food
S048,C010,R007,V007,D009,2026-03-30 12:00:00,2026-03-30 12:00:00,2026-03-30 16:00:00,,Luxembourg,Nancy,329,76,599,In Transit,Pharma
S049,C001,R007,V006,D007,2026-03-30 09:00:00,2026-03-30 09:27:00,2026-03-30 13:00:00,,Luxembourg,Nancy,134,139,230,In Transit,General
S050,C014,R003,V008,D003,2026-03-30 11:00:00,2026-03-30 11:37:00,2026-03-30 15:00:00,2026-03-30 15:00:00,Luxembourg,Brussels,183,117,435,Delivered,Pharma
S051,C013,R005,V007,D005,2026-03-30 12:00:00,2026-03-30 12:20:00,2026-03-30 16:00:00,,Luxembourg,Brussels,290,24,652,In Transit,General
S052,C001,R004,V004,D001,2026-03-30 10:00:00,2026-03-30 10:14:00,2026-03-30 14:00:00,2026-03-30 13:55:00,Luxembourg,Reims,128,81,229,Delivered,Food
